size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating_label
220397568,1.99,1824,113,4.0,767,2,4,24,5,22,1,0
69057536,0.0,39642,492,4.0,1291,2,19,37,5,1,1,0
101943296,0.0,679055,9673,4.5,1102,2,7,38,4,11,1,0
122235904,9.99,17594,143,4.0,1394,2,15,37,5,14,1,0
151954432,1.99,3531,177,4.5,765,2,7,38,5,1,1,0
138047488,3.99,1080,5,2.5,1055,2,3,37,5,1,1,0
105982976,0.0,11421,57,2.5,1262,2,5,37,4,1,1,0
104590336,1.99,698516,132,4.0,739,2,7,38,5,13,1,0
32051200,3.99,4497,448,4.0,201,0,4,24,5,1,1,0
225859584,0.99,163598,503,4.0,478,3,7,24,5,5,1,0
229992448,9.99,39678,114,3.5,1247,2,7,24,5,6,1,0
32604160,8.99,1809,52,3.5,942,2,15,24,5,1,1,0
22948864,4.99,624,20,3.5,1540,2,12,37,1,1,1,0
35422208,2.99,3761,596,4.5,1136,2,14,40,5,1,1,0
32083968,3.99,353,8,3.5,862,0,22,24,5,1,1,0
150221824,4.99,6503,60,5.0,1453,2,3,24,5,12,1,0
30270464,0.99,71,3,4.5,1267,2,7,37,2,4,1,2
125016064,0.0,308844,139,3.0,1560,2,4,37,5,20,1,0
35717120,9.99,3909,36,5.0,525,2,11,24,5,14,1,0
31955968,2.99,308,0,0.0,1550,0,21,40,5,7,1,0
44099584,9.99,11156,8,2.5,943,2,15,24,5,1,1,0
34310144,4.99,8542,543,5.0,1330,2,14,26,5,1,1,0
35602607,4.99,5853,3860,4.0,312,1,7,26,4,1,1,0
234123264,1.99,1506,198,4.5,767,3,7,26,5,6,1,0
133874688,0.0,1649,1,5.0,1454,2,18,37,0,3,1,0
85724160,0.0,78890,449,3.5,1213,0,4,37,5,1,0,2
219693056,3.99,2147,23,5.0,306,3,7,24,5,1,1,0
176164864,0.0,89110,114,4.0,1466,2,7,24,5,10,1,0
59101184,0.0,208648,25664,4.5,1165,2,22,24,4,1,1,0
10907191,1.99,856,38,3.5,230,0,4,26,3,1,1,2
4177920,3.99,7825,828,4.5,697,2,15,43,5,1,1,0
62978048,9.99,7033,119,4.5,1517,2,1,37,5,11,1,0
66138112,1.99,4255,209,2.0,1080,2,16,38,5,1,1,0
68073472,5.99,3230,5,4.0,1571,2,21,37,5,7,1,0
165748736,0.0,54175,10176,4.5,1055,2,16,24,5,9,1,0
33857536,4.99,308,8,4.5,1164,2,3,24,5,1,1,0
22763520,0.99,2602,71,4.5,609,3,7,37,4,1,1,2
107259904,0.0,29110,324,4.5,1335,1,15,37,5,9,1,0
73224192,1.99,273,8,4.5,251,2,16,26,5,1,1,0
45182976,0.0,15654,24,4.5,1364,2,14,37,5,2,1,0
16292864,0.0,189,0,0.0,1112,0,4,37,1,9,1,2
24851456,0.99,829,16,4.5,418,2,12,24,0,7,1,0
58463232,8.99,663,5,4.0,917,2,14,37,5,1,1,0
71002112,0.0,359832,17119,5.0,1279,2,7,40,5,7,1,0
112609280,0.0,9011,49,4.0,1394,2,4,37,5,6,1,0
149536768,4.99,17667,14,4.0,1457,2,8,37,0,15,1,0
39844864,0.0,65450,2721,4.5,1006,2,0,37,5,18,1,0
105609216,0.0,31261,374,4.5,577,2,20,37,5,40,1,0
14160896,0.99,9885,10,4.0,407,2,7,40,0,1,1,0
112515072,0.0,11091,415,4.5,1082,2,4,37,0,6,1,2
64705536,0.0,132703,394,3.0,783,2,13,37,5,1,0,0
37161984,4.99,286,25,5.0,613,2,20,24,5,1,0,2
54776832,0.0,12683,108,4.0,1325,0,21,38,0,29,1,0
283852800,0.0,49466,150,2.0,955,2,20,37,4,41,1,2
101923840,0.0,168,0,0.0,1362,2,15,37,5,2,1,0
40479744,6.99,114,0,0.0,982,1,0,24,5,3,1,0
10612736,2.99,2798,357,4.5,1115,2,22,24,5,1,1,0
94592000,0.0,62,0,0.0,1144,2,4,37,5,1,1,0
33213440,9.99,1756,53,5.0,1373,2,1,37,4,5,1,0
